"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","160.161.74.108","10.10.10.10","TCP","60","41885  >  25565 [SYN] Seq=0 Win=0 Len=0"
"2","0.000629","80.24.71.108","10.10.10.10","TCP","60","301  >  25565 [SYN] Seq=0 Win=0 Len=0"
"3","0.001186","64.93.51.108","10.10.10.10","TCP","60","3517  >  25565 [SYN] Seq=0 Win=0 Len=0"
"4","0.001294","190.238.52.108","10.10.10.10","TCP","60","12707  >  25565 [SYN] Seq=0 Win=0 Len=0"
"5","0.001864","112.124.85.108","10.10.10.10","TCP","60","49869  >  25565 [SYN] Seq=0 Win=0 Len=0"
"6","0.002217","38.19.55.108","10.10.10.10","TCP","60","49467  >  25565 [SYN] Seq=0 Win=0 Len=0"
"7","0.002291","22.13.62.108","10.10.10.10","TCP","60","30283  >  25565 [SYN] Seq=0 Win=0 Len=0"
"8","0.002645","108.233.74.108","10.10.10.10","TCP","60","60265  >  25565 [SYN] Seq=0 Win=0 Len=0"
"9","0.003241","122.60.73.108","10.10.10.10","TCP","60","47055  >  25565 [SYN] Seq=0 Win=0 Len=0"
"10","0.003323","202.197.75.108","10.10.10.10","TCP","60","23103  >  25565 [SYN] Seq=0 Win=0 Len=0"
"11","0.003534","130.153.72.108","10.10.10.10","TCP","60","39015  >  25565 [SYN] Seq=0 Win=0 Len=0"
"12","0.004140","84.121.78.108","10.10.10.10","TCP","60","47457  >  25565 [SYN] Seq=0 Win=0 Len=0"
"13","0.004284","194.204.81.108","10.10.10.10","TCP","60","29479  >  25565 [SYN] Seq=0 Win=0 Len=0"
"14","0.006145","62.150.70.108","10.10.10.10","TCP","60","11043  >  25565 [SYN] Seq=0 Win=0 Len=0"
"15","0.006941","26.140.178.108","10.10.10.10","TCP","60","29423  >  25565 [SYN] Seq=0 Win=0 Len=0"
"16","0.008800","76.14.170.108","10.10.10.10","TCP","60","33097  >  25565 [SYN] Seq=0 Win=0 Len=0"
"17","0.009134","212.7.169.108","10.10.10.10","TCP","60","4321  >  25565 [SYN] Seq=0 Win=0 Len=0"
"18","0.009924","94.237.230.108","10.10.10.10","TCP","60","14147  >  25565 [SYN] Seq=0 Win=0 Len=0"
"19","0.010415","146.59.230.108","10.10.10.10","TCP","60","2199  >  25565 [SYN] Seq=0 Win=0 Len=0"
"20","0.010616","78.100.228.108","10.10.10.10","TCP","60","39763  >  25565 [SYN] Seq=0 Win=0 Len=0"
"21","0.011027","164.64.236.108","10.10.10.10","TCP","60","8977  >  25565 [SYN] Seq=0 Win=0 Len=0"
"22","0.011469","118.137.232.108","10.10.10.10","TCP","60","65323  >  25565 [SYN] Seq=0 Win=0 Len=0"
"23","0.012075","116.201.165.108","10.10.10.10","TCP","60","29825  >  25565 [SYN] Seq=0 Win=0 Len=0"
"24","0.012435","96.150.248.108","10.10.10.10","TCP","60","27357  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25","0.012436","174.162.13.108","10.10.10.10","TCP","60","55731  >  25565 [SYN] Seq=0 Win=0 Len=0"
"26","0.012685","138.186.249.108","10.10.10.10","TCP","60","8575  >  25565 [SYN] Seq=0 Win=0 Len=0"
"27","0.014148","84.66.5.108","10.10.10.10","TCP","60","44129  >  25565 [SYN] Seq=0 Win=0 Len=0"
"28","0.014869","178.224.6.108","10.10.10.10","TCP","60","6967  >  25565 [SYN] Seq=0 Win=0 Len=0"
"29","0.015139","44.222.248.108","10.10.10.10","TCP","60","45737  >  25565 [SYN] Seq=0 Win=0 Len=0"
"30","0.015401","18.23.248.108","10.10.10.10","TCP","60","48663  >  25565 [SYN] Seq=0 Win=0 Len=0"
"31","0.015402","180.209.247.108","10.10.10.10","TCP","60","20289  >  25565 [SYN] Seq=0 Win=0 Len=0"
"32","0.015403","162.211.250.108","10.10.10.10","TCP","60","64519  >  25565 [SYN] Seq=0 Win=0 Len=0"
